epochs,test_5px_gap_accuracy,test_5px_slider_accuracy,test_5px_both_accuracy,test_7px_gap_accuracy,test_7px_slider_accuracy,test_7px_both_accuracy,real_5px_gap_accuracy,real_5px_slider_accuracy,real_5px_both_accuracy,real_7px_gap_accuracy,real_7px_slider_accuracy,real_7px_both_accuracy
1,0,0,92.5,0,0,97.5,0,0,34.0,0,0,43.0
2,0,0,100.0,0,0,100.0,0,0,24.0,0,0,37.0
3,0,0,100.0,0,0,100.0,0,0,42.0,0,0,52.0
4,0,0,100.0,0,0,100.0,0,0,50.0,0,0,59.0
5,0,0,100.0,0,0,100.0,0,0,59.0,0,0,66.0
6,0,0,100.0,0,0,100.0,0,0,61.0,0,0,72.0
7,0,0,100.0,0,0,100.0,0,0,60.0,0,0,77.0
8,0,0,100.0,0,0,100.0,0,0,64.0,0,0,71.0
9,0,0,100.0,0,0,100.0,0,0,68.0,0,0,75.0
10,0,0,100.0,0,0,100.0,0,0,68.0,0,0,74.0
11,0,0,100.0,0,0,100.0,0,0,70.0,0,0,77.0
12,0,0,100.0,0,0,100.0,0,0,67.0,0,0,77.0
13,0,0,100.0,0,0,100.0,0,0,71.0,0,0,78.0
14,0,0,100.0,0,0,100.0,0,0,68.0,0,0,77.0
15,0,0,100.0,0,0,100.0,0,0,73.0,0,0,78.0
16,0,0,100.0,0,0,100.0,0,0,72.0,0,0,80.0
17,0,0,100.0,0,0,100.0,0,0,73.0,0,0,80.0
18,0,0,100.0,0,0,100.0,0,0,70.0,0,0,78.0
19,0,0,100.0,0,0,100.0,0,0,71.0,0,0,79.0
20,0,0,100.0,0,0,100.0,0,0,71.0,0,0,80.0
